Name,Type,Mass,log(q),log(Al/X),error log(Al/X),log(Ti/X),error log(Ti/X),log(Ca/X),error log(Ca/X),log(Ni/X),error log(Ni/X),log(Fe/X),error log(Fe/X),log(Cr/X),error log(Cr/X),log(Mg/X),error log(Mg/X),log(Si/X),error log(Si/X),log(Na/X),error log(Na/X),log(O/X),error log(O/X),log(C/X),error log(C/X),log(N/X),error log(N/X),t_Al,t_Ti,t_Ca,t_Ni,t_Fe,t_Cr,t_Mg,t_Si,t_Na,t_O,t_C,t_N
SDSSJ0053+3115,He,0.6,-5.41,0,0,0,0,-8.8,0.5,0,0,-7.6,0.5,0,0,-7.6,0.5,0,0,0,0,0,0,0,0,0,0,3388441.561,1202264.435,1318256.739,1445439.771,1318256.739,1258925.412,3801893.963,3801893.963,3388441.561,4182083.359,4182083.359,4182083.359
SDSSJ0056+2453,He,0.6,-5.41,0,0,0,0,-10.2,0.5,0,0,-9.1,0.5,0,0,-9,0.5,0,0,0,0,0,0,0,0,0,0,3981071.706,1288249.552,2137962.09,1548816.619,1412537.545,1348962.883,4466835.922,4466835.922,3981071.706,4913519.514,4913519.514,4913519.514
SDSSJ0108-0537,He,0.6,-5.46,0,0,0,0,-8.5,0.3,0,0,-7.9,0.3,0,0,-8.2,0.3,0,0,-8.98,0.136011257,0,0,0,0,0,0,3090295.433,1096478.196,1230268.771,1318256.739,1230268.771,1148153.621,3467368.505,3467368.505,3090295.433,3814105.356,3814105.356,3814105.356
SDSSJ0114+3505,He,0.6,-5.43,0,0,0,0,-8.4,0.1,0,0,-7.1,0.1,-8.95,0.221170236,-7,0.1,0,0,0,0,0,0,0,0,0,0,3090295.433,1122018.454,1230268.771,1348962.883,1258925.412,1202264.435,3467368.505,3467368.505,3090295.433,3814105.356,3814105.356,3814105.356
SDSSJ0116+2050,He,0.6,-5.42,0,0,-9.73,0.120350181,-8.8,0.1,-8.75,0.120350181,-7.6,0.1,0,0,-7.4,0.1,0,0,-9.28,0.083571324,0,0,0,0,0,0,3311311.215,1174897.555,1288249.552,1412537.545,1318256.739,1230268.771,3715352.291,3715352.291,3311311.215,4086887.52,4086887.52,4086887.52
SDSSJ0117+0021,He,0.6,-5.3,0,0,0,0,-8.8,0.1,0,0,-7.6,0.1,-9.48,0.117328226,-7.2,0.1,0,0,0,0,0,0,0,0,0,0,3801893.963,1380384.265,1513561.248,1659586.907,1548816.619,1479108.388,4265795.188,4265795.188,3801893.963,4692374.707,4692374.707,4692374.707
SDSSJ0126+2534,He,0.6,-5.37,0,0,0,0,-9.5,0.3,0,0,-8.3,0.5,0,0,-8.3,0.5,0,0,0,0,0,0,0,0,0,0,4466835.922,1479108.388,2754228.703,1659586.907,1548816.619,1479108.388,5011872.336,5011872.336,4466835.922,5513059.57,5513059.57,5513059.57
SDSSJ0135+1302,He,0.6,-5.38,0,0,0,0,-9.2,0.1,0,0,-8.1,0.3,0,0,-7.9,0.2,0,0,0,0,0,0,0,0,0,0,3981071.706,1318256.739,1995262.315,1584893.192,1445439.771,1380384.265,4466835.922,4466835.922,3981071.706,4913519.514,4913519.514,4913519.514
SDSSJ0143+0113,He,0.6,-5.36,0,0,0,0,-8.2,0.1,0,0,-7,0.1,0,0,-6.6,0.1,0,0,-8.38,0.077063317,0,0,0,0,0,0,3388441.561,1230268.771,1348962.883,1513561.248,1380384.265,1318256.739,3715352.291,3715352.291,3388441.561,4086887.52,4086887.52,4086887.52
SDSSJ0144+1920,He,0.6,-5.4,0,0,0,0,-8.7,0.2,0,0,-7.6,0.2,0,0,-7.3,0.2,0,0,-8.38,0.178531454,0,0,0,0,0,0,3162277.66,1174897.555,1288249.552,1412537.545,1318256.739,1230268.771,3548133.892,3548133.892,3162277.66,3902947.281,3902947.281,3902947.281
SDSSJ0144+0305,He,0.6,-5.33,0,0,0,0,-8.3,0.3,0,0,-7.2,0.3,0,0,-7.1,0.3,0,0,0,0,0,0,0,0,0,0,3388441.561,1288249.552,1380384.265,1548816.619,1445439.771,1348962.883,3801893.963,3801893.963,3388441.561,4182083.359,4182083.359,4182083.359
SDSSJ0148-0112,He,0.6,-5.29,0,0,0,0,-9,0.2,0,0,-7.9,0.5,0,0,-7.3,0.3,0,0,0,0,0,0,0,0,0,0,3801893.963,1412537.545,1548816.619,1698243.652,1548816.619,1479108.388,4265795.188,4265795.188,3801893.963,4692374.707,4692374.707,4692374.707
SDSSJ0150+1354,He,0.6,-5.56,0,0,0,0,-7.7,0.2,0,0,-6.8,0.2,-10.05,1.84E-01,-6,0.1,0,0,-7.98,0.162413645,0,0,0,0,0,0,2290867.653,870963.59,933254.3008,1047128.548,977237.221,933254.3008,2570395.783,2570395.783,2290867.653,2827435.361,2827435.361,2827435.361
SDSSJ0158-0942,He,0.6,-5.35,0,0,0,0,-9.9,0.2,0,0,-8.8,0.5,0,0,-8.7,0.5,0,0,0,0,0,0,0,0,0,0,4073802.778,1380384.265,2089296.131,1621810.097,1513561.248,1445439.771,4570881.896,4570881.896,4073802.778,5027970.086,5027970.086,5027970.086
SDSSJ0201+2015,He,0.6,-5.4,0,0,0,0,-9,0.2,0,0,-8,0.2,0,0,-7.3,0.2,0,0,0,0,0,0,0,0,0,0,3467368.505,1230268.771,1348962.883,1479108.388,1348962.883,1288249.552,3890451.45,3890451.45,3467368.505,4279496.595,4279496.595,4279496.595
SDSSJ0208-0542,He,0.6,-5.55,0,0,0,0,-8.2,0.3,0,0,-7.1,0.3,0,0,-7.2,0.3,0,0,-8.48,0.369429142,0,0,0,0,0,0,2691534.804,954992.586,1047128.548,1148153.621,1047128.548,1000000,3019951.72,3019951.72,2691534.804,3321946.892,3321946.892,3321946.892
SDSSJ0234-0510,He,0.6,-5.32,0,0,0,0,-8.5,0.2,0,0,-7.3,0.2,0,0,-6.9,0.2,0,0,0,0,0,0,0,0,0,0,3388441.561,1288249.552,1380384.265,1548816.619,1445439.771,1348962.883,3801893.963,3801893.963,3388441.561,4182083.359,4182083.359,4182083.359
SDSSJ0252-0401,He,0.6,-5.3,0,0,0,0,-8.9,0.1,0,0,-8,0.2,-8.95,0.166282167,-6.8,0.1,0,0,-8.58,0.141949847,0,0,0,0,0,0,3801893.963,1445439.771,1548816.619,1778279.41,1621810.097,1548816.619,4168693.835,4168693.835,3801893.963,4585563.219,4585563.219,4585563.219
SDSSJ0252+0054,He,0.6,-5.23,0,0,0,0,-8.5,0.2,0,0,-7.2,0.2,0,0,-7.1,0.2,0,0,-7.98,0.159896394,0,0,0,0,0,0,3630780.548,1348962.883,1479108.388,1621810.097,1513561.248,1445439.771,3981071.706,3981071.706,3630780.548,4379178.877,4379178.877,4379178.877
SDSSJ0447+1124,He,0.6,-5.35,0,0,0,0,-9,0.3,0,0,-7.7,0.3,0,0,-7.3,0.3,0,0,0,0,0,0,0,0,0,0,3548133.892,1288249.552,1412537.545,1548816.619,1412537.545,1348962.883,3890451.45,3890451.45,3548133.892,4279496.595,4279496.595,4279496.595
SDSSJ0721+3928,He,0.6,-5.39,0,0,0,0,-9.3,0.2,0,0,-8.4,0.2,0,0,-7.7,0.2,0,0,0,0,0,0,0,0,0,0,3467368.505,1230268.771,1348962.883,1479108.388,1380384.265,1318256.739,3890451.45,3890451.45,3467368.505,4279496.595,4279496.595,4279496.595
SDSSJ0736+4118,He,0.6,-5.68,0,0,0,0,-8.5,0.3,0,0,-7.3,0.3,-8.95,0.145437628,-7.3,0.3,0,0,-9.68,0.116842217,0,0,0,0,0,0,2344228.815,794328.2347,891250.9381,954992.586,891250.9381,831763.7711,2630267.992,2630267.992,2344228.815,2893294.791,2893294.791,2893294.791
SDSSJ0739+3112,He,0.6,-5.48,0,0,0,0,-9.2,0.4,0,0,-8,0.5,0,0,-7.9,0.5,0,0,0,0,0,0,0,0,0,0,3630780.548,1174897.555,1949844.6,1380384.265,1288249.552,1230268.771,4168693.835,4168693.835,3630780.548,4585563.219,4585563.219,4585563.219
SDSSJ0741+3146,He,0.6,-5.4,0,0,-9.51,0.176384206,-9,0.2,-8.54,0.176384206,-7.5,0.2,-9.05,0.176384206,-7.6,0.2,0,0,0,0,0,0,0,0,0,0,3890451.45,1288249.552,2041737.945,1548816.619,1412537.545,1348962.883,4466835.922,4466835.922,3890451.45,4913519.514,4913519.514,4913519.514
SDSSJ0744+4649,He,0.6,-5.72,0,0,-9.32,0.114834507,-8.3,0.1,0,0,-7.6,0.2,-9.63,0.114834507,-7.6,0.2,0,0,-9.2,0.075411962,0,0,0,0,0,0,2187761.624,741310.2413,831763.7711,891250.9381,831763.7711,776247.1166,2454708.916,2454708.916,2187761.624,2700179.808,2700179.808,2700179.808
SDSSJ0744+4408,He,0.6,-5.39,0,0,0,0,-8.6,0.2,0,0,-7.5,0.2,0,0,-7.4,0.2,0,0,-9.08,0.227924887,0,0,0,0,0,0,3388441.561,1202264.435,1318256.739,1445439.771,1348962.883,1288249.552,3715352.291,3715352.291,3388441.561,4086887.52,4086887.52,4086887.52
SDSSJ0744+2701,He,0.6,-5.28,0,0,0,0,-7.8,0.2,0,0,-7,0.2,0,0,-6.7,0.2,0,0,0,0,0,0,0,0,0,0,3235936.569,1288249.552,1380384.265,1584893.192,1445439.771,1380384.265,3630780.548,3630780.548,3235936.569,3993858.603,3993858.603,3993858.603
SDSSJ0744+1640,He,0.6,-5.38,0,0,0,0,-10.3,0.3,0,0,-9.1,0.5,0,0,-9.1,0.5,0,0,0,0,0,0,0,0,0,0,4677351.413,1698243.652,3548133.892,1698243.652,1548816.619,1513561.248,5370317.964,5370317.964,4677351.413,5907349.76,5907349.76,5907349.76
SDSSJ0758+1013,He,0.6,-5.59,0,0,0,0,-8.5,0.2,0,0,-7.1,0.2,-9.05,0.331961309,-7,0.2,0,0,-8.58,0.320465772,0,0,0,0,0,0,2691534.804,912010.8394,1023292.992,1096478.196,1023292.992,977237.221,3019951.72,3019951.72,2691534.804,3321946.892,3321946.892,3321946.892
SDSSJ0800+2242,He,0.6,-5.27,0,0,0,0,-9.9,0.3,0,0,-8.7,0.5,0,0,-8.7,0.5,0,0,0,0,0,0,0,0,0,0,4570881.896,1548816.619,2398832.919,1862087.137,1737800.829,1621810.097,5128613.84,5128613.84,4570881.896,5641475.224,5641475.224,5641475.224
SDSSJ0806+3055,He,0.6,-5.43,0,0,0,0,-7.9,0.3,0,0,-7,0.3,-8.6,0.242739148,-6.8,0.2,0,0,0,0,0,0,0,0,0,0,2754228.703,1071519.305,1148153.621,1288249.552,1202264.435,1122018.454,3090295.433,3090295.433,2754228.703,3399324.976,3399324.976,3399324.976
SDSSJ0807+4930,He,0.6,-5.7,0,0,-8.97,0.317342773,-8.3,0.2,0,0,-7.2,0.2,-9.25,0.317342773,-6.8,0.2,0,0,-9.18,0.305297291,0,0,0,0,0,0,2238721.139,776247.1166,851138.0382,912010.8394,851138.0382,812830.5162,2511886.432,2511886.432,2238721.139,2763075.075,2763075.075,2763075.075
SDSSJ0816+2330,He,0.6,-5.33,0,0,-8.77,0.254583286,-7.6,0.3,0,0,-6.5,0.3,-7.8,0.254583286,-6,0.3,0,0,0,0,0,0,0,0,0,0,2951209.227,1174897.555,1258925.412,1445439.771,1348962.883,1258925.412,3311311.215,3311311.215,2951209.227,3642442.337,3642442.337,3642442.337
SDSSJ0818+1247,He,0.6,-5.32,0,0,0,0,-9,0.3,0,0,-7.8,0.4,0,0,-7.2,0.3,0,0,0,0,0,0,0,0,0,0,3548133.892,1318256.739,1412537.545,1584893.192,1479108.388,1380384.265,3981071.706,3981071.706,3548133.892,4379178.877,4379178.877,4379178.877
SDSSJ0830-0319,He,0.6,-5.33,0,0,0,0,-9.4,0.1,0,0,-8.2,0.1,0,0,-8.2,0.1,0,0,0,0,0,0,0,0,0,0,3801893.963,1348962.883,1548816.619,1621810.097,1513561.248,1412537.545,4265795.188,4265795.188,3801893.963,4692374.707,4692374.707,4692374.707
SDSSJ0838+2322,He,0.6,-5.35,0,0,0,0,-9.8,0.2,0,0,-8.7,0.5,0,0,-8.6,0.5,0,0,0,0,0,0,0,0,0,0,4365158.322,1445439.771,2398832.919,1698243.652,1548816.619,1479108.388,4897788.194,4897788.194,4365158.322,5387567.013,5387567.013,5387567.013
SDSSJ0842+1406,He,0.6,-5.32,0,0,0,0,-8.4,0.1,0,0,-7.4,0.1,0,0,-7.2,0.1,0,0,0,0,0,0,0,0,0,0,3388441.561,1288249.552,1380384.265,1548816.619,1445439.771,1348962.883,3715352.291,3715352.291,3388441.561,4086887.52,4086887.52,4086887.52
SDSSJ0842+1536,He,0.6,-5.32,0,0,0,0,-9.8,0.4,0,0,-8.6,0.2,0,0,-8.5,0.2,0,0,0,0,0,0,0,0,0,0,4073802.778,1412537.545,1995262.315,1698243.652,1584893.192,1479108.388,4677351.413,4677351.413,4073802.778,5145086.554,5145086.554,5145086.554
SDSSJ0843+5614,He,0.6,-5.36,0,0,0,0,-8.7,0.2,0,0,-7.5,0.2,0,0,-6.9,0.2,0,0,-8.28,0.159019155,0,0,0,0,0,0,3467368.505,1258925.412,1380384.265,1513561.248,1412537.545,1318256.739,3890451.45,3890451.45,3467368.505,4279496.595,4279496.595,4279496.595
SDSSJ0851+1543,He,0.6,-5.45,0,0,0,0,-8.6,0.1,0,0,-8.2,0.2,0,0,-7.4,0.2,0,0,0,0,0,0,0,0,0,0,3019951.72,1096478.196,1202264.435,1318256.739,1230268.771,1148153.621,3388441.561,3388441.561,3019951.72,3727285.717,3727285.717,3727285.717
SDSSJ0852+3402,He,0.6,-5.51,0,0,0,0,-10.1,0.3,0,0,-8.9,0.5,-10.85,0.217347828,-8.9,0.5,0,0,-10.68,0.199349137,0,0,0,0,0,0,3090295.433,1071519.305,1288249.552,1258925.412,1174897.555,1122018.454,3467368.505,3467368.505,3090295.433,3814105.356,3814105.356,3814105.356
SDSSJ0901+0752,He,0.6,-5.51,0,0,-8.77,0.137344195,-7.1,0.2,0,0,-6.1,0.2,-8.05,0.137344195,-5.8,0.2,0,0,-7.68,0.10659938,0,0,0,0,0,0,2238721.139,891250.9381,954992.586,1096478.196,1000000,954992.586,2511886.432,2511886.432,2238721.139,2763075.075,2763075.075,2763075.075
SDSSJ0906+1141,He,0.6,-5.41,0,0,-9.22,0.257050749,-8.5,0.2,0,0,-7.3,0.2,0,0,-6.9,0.2,0,0,-9.03,0.242022907,0,0,0,0,0,0,2884031.503,1096478.196,1202264.435,1348962.883,1230268.771,1174897.555,3235936.569,3235936.569,2884031.503,3559530.226,3559530.226,3559530.226
SDSSJ0908+5136,He,0.6,-5.34,0,0,0,0,-10.1,0.3,0,0,-9,0.3,0,0,-8.9,0.3,0,0,0,0,0,0,0,0,0,0,3981071.706,1380384.265,1819700.859,1659586.907,1513561.248,1445439.771,4466835.922,4466835.922,3981071.706,4913519.514,4913519.514,4913519.514
SDSSJ0908+4119,He,0.6,-5.33,0,0,0,0,-8.7,0.3,0,0,-7.1,0.3,0,0,-6.8,0.2,0,0,0,0,0,0,0,0,0,0,3630780.548,1318256.739,1445439.771,1584893.192,1479108.388,1412537.545,4073802.778,4073802.778,3630780.548,4481183.056,4481183.056,4481183.056
SDSSJ0913+2627,He,0.6,-5.42,0,0,0,0,-9.7,0.3,0,0,-8.5,0.4,0,0,-8.5,0.5,0,0,0,0,0,0,0,0,0,0,4073802.778,1318256.739,2344228.815,1548816.619,1445439.771,1380384.265,4677351.413,4677351.413,4073802.778,5145086.554,5145086.554,5145086.554
SDSSJ0913+4127,He,0.6,-5.56,0,0,-9.12,0.317342773,-8.6,0.3,0,0,-7.4,0.5,-9.5,0.317342773,-7.3,0.3,0,0,0,0,0,0,0,0,0,0,2630267.992,933254.3008,1047128.548,1122018.454,1047128.548,1000000,2951209.227,2951209.227,2630267.992,3246330.15,3246330.15,3246330.15
SDSSJ0916+2540,He,0.6,-5.82,0,0,-8.77,0.116066744,-7.5,0.2,0,0,-7.2,0.2,-8.92,0.116066744,-6.5,0.2,0,0,-9.34,0.07727541,0,0,0,0,0,0,1621810.097,588843.6554,645654.229,707945.7844,660693.448,630957.3445,1778279.41,1778279.41,1621810.097,1956107.351,1956107.351,1956107.351
SDSSJ0924+4301,He,0.6,-5.32,0,0,0,0,-10.2,0.4,0,0,-9,0.5,0,0,-9,0.5,0,0,0,0,0,0,0,0,0,0,4365158.322,1479108.388,2344228.815,1737800.829,1621810.097,1548816.619,5011872.336,5011872.336,4365158.322,5513059.57,5513059.57,5513059.57
SDSSJ0925+3130,He,0.6,-5.47,0,0,0,0,-8.6,0.2,0,0,-7.6,0.2,0,0,-7.4,0.2,0,0,-9.28,0.099111686,0,0,0,0,0,0,3235936.569,1122018.454,1288249.552,1348962.883,1230268.771,1174897.555,3630780.548,3630780.548,3235936.569,3993858.603,3993858.603,3993858.603
SDSSJ0929+4247,He,0.6,-5.4,0,0,0,0,-8.3,0.2,0,0,-7.1,0.2,-8.85,0.178530146,-6.5,0.2,0,0,-8.48,0.156118587,0,0,0,0,0,0,3162277.66,1174897.555,1288249.552,1412537.545,1318256.739,1230268.771,3548133.892,3548133.892,3162277.66,3902947.281,3902947.281,3902947.281
SDSSJ0933+6334,He,0.6,-5.48,0,0,0,0,-8.6,0.3,0,0,-7,0.3,-9.15,0.377373703,-7,0.3,0,0,0,0,0,0,0,0,0,0,2754228.703,1023292.992,1122018.454,1230268.771,1148153.621,1071519.305,3090295.433,3090295.433,2754228.703,3399324.976,3399324.976,3399324.976
SDSSJ0937+5228,He,0.6,-5.39,0,0,0,0,-8.4,0.1,0,0,-7.4,0.2,-9.25,0.125877511,-6.9,0.1,0,0,-8.98,0.09135178,0,0,0,0,0,0,3162277.66,1174897.555,1288249.552,1412537.545,1318256.739,1230268.771,3548133.892,3548133.892,3162277.66,3902947.281,3902947.281,3902947.281
SDSSJ0939+4136,He,0.6,-5.48,0,0,0,0,-8.1,0.2,0,0,-6.6,0.2,-8.35,0.200504435,-6.8,0.2,0,0,-8.38,0.180837021,0,0,0,0,0,0,2818382.931,1047128.548,1122018.454,1258925.412,1148153.621,1096478.196,3162277.66,3162277.66,2818382.931,3478505.426,3478505.426,3478505.426
SDSSJ0939+5019,He,0.6,-5.56,0,0,0,0,-8.4,0.2,0,0,-7,0.2,-8.85,0.211699861,-6.7,0.2,0,0,-9.38,0.193175649,0,0,0,0,0,0,2511886.432,912010.8394,1000000,1096478.196,1023292.992,977237.221,2818382.931,2818382.931,2511886.432,3100221.224,3100221.224,3100221.224
SDSSJ0946+2024,He,0.6,-5.27,0,0,0,0,-8,0.2,0,0,-6.9,0.2,0,0,-6.5,0.2,0,0,0,0,0,0,0,0,0,0,3467368.505,1348962.883,1445439.771,1621810.097,1513561.248,1412537.545,3890451.45,3890451.45,3467368.505,4279496.595,4279496.595,4279496.595
SDSSJ0948+3008,He,0.6,-5.4,0,0,0,0,-9.1,0.2,0,0,-8.1,0.2,0,0,-7.9,0.2,0,0,0,0,0,0,0,0,0,0,3548133.892,1230268.771,1513561.248,1479108.388,1380384.265,1288249.552,3981071.706,3981071.706,3548133.892,4379178.877,4379178.877,4379178.877
SDSSJ0956+5912,He,0.6,-5.3,0,0,0,0,-7.1,0.1,0,0,-6.2,0.1,-7.45,0.122102526,-5.2,0.1,0,0,-6.55,0.086075704,0,0,0,0,0,0,2951209.227,1202264.435,1288249.552,1513561.248,1380384.265,1288249.552,3235936.569,3235936.569,2951209.227,3559530.226,3559530.226,3559530.226
SDSSJ1005+2244,He,0.6,-5.36,0,0,0,0,-9.1,0.4,0,0,-7.8,0.5,0,0,-7.9,0.5,0,0,0,0,0,0,0,0,0,0,3630780.548,1288249.552,1412537.545,1548816.619,1412537.545,1348962.883,4073802.778,4073802.778,3630780.548,4481183.056,4481183.056,4481183.056
SDSSJ1006+1752,He,0.6,-5.4,0,0,0,0,-9.5,0.5,0,0,-8.3,0.5,0,0,-8.3,0.5,0,0,0,0,0,0,0,0,0,0,3801893.963,1288249.552,1905460.718,1513561.248,1412537.545,1348962.883,4365158.322,4365158.322,3801893.963,4801674.154,4801674.154,4801674.154
SDSSJ1014+2827,He,0.6,-5.59,0,0,-9.27,0.337453714,-7.9,0.3,0,0,-6.5,0.3,-8.65,0.337453714,-6.4,0.2,0,0,-8.08,0.326151819,0,0,0,0,0,0,2187761.624,831763.7711,2290867.653,1023292.992,933254.3008,891250.9381,2454708.916,2454708.916,2187761.624,2700179.808,2700179.808,2700179.808
SDSSJ1017+3447,He,0.6,-5.35,0,0,0,0,-9.8,0.5,0,0,-8.6,0.5,0,0,-8.6,0.5,0,0,0,0,0,0,0,0,0,0,3890451.45,1348962.883,1819700.859,1621810.097,1513561.248,1445439.771,4466835.922,4466835.922,3890451.45,4913519.514,4913519.514,4913519.514
SDSSJ1017+2419,He,0.6,-5.32,0,0,0,0,-8.4,0.2,0,0,-7.3,0.2,0,0,-6.7,0.2,0,0,-8.48,0.132191709,0,0,0,0,0,0,3311311.215,1258925.412,1348962.883,1548816.619,1412537.545,1348962.883,3630780.548,3630780.548,3311311.215,3993858.603,3993858.603,3993858.603
SDSSJ1019+3535,He,0.6,-5.51,0,0,0,0,-8.8,0.4,0,0,-7.9,0.4,0,0,-7,0.4,0,0,0,0,0,0,0,0,0,0,2951209.227,1047128.548,1148153.621,1230268.771,1148153.621,1096478.196,3311311.215,3311311.215,2951209.227,3642442.337,3642442.337,3642442.337
SDSSJ1019+2045,He,0.6,-5.48,0,0,0,0,-9.4,0.4,0,0,-8.2,0.5,0,0,-8.2,0.5,0,0,0,0,0,0,0,0,0,0,3548133.892,1148153.621,1778279.41,1380384.265,1258925.412,1202264.435,3981071.706,3981071.706,3548133.892,4379178.877,4379178.877,4379178.877
SDSSJ1024+4531,He,0.6,-5.45,0,0,0,0,-8.4,0.2,0,0,-7.6,0.2,0,0,-7.3,0.2,0,0,0,0,0,0,0,0,0,0,3235936.569,1148153.621,1258925.412,1380384.265,1258925.412,1202264.435,3630780.548,3630780.548,3235936.569,3993858.603,3993858.603,3993858.603
SDSSJ1024+1014,He,0.6,-5.61,0,0,-8.72,0.286592783,-7.7,0.3,0,0,-6.6,0.3,-8.6,0.286592783,-6.1,0.3,0,0,-8.83,0.273194844,0,0,0,0,0,0,2089296.131,812830.5162,870963.59,977237.221,2290867.653,851138.0382,2344228.815,2344228.815,2089296.131,2578651.697,2578651.697,2578651.697
SDSSJ1032+1338,He,0.6,-5.46,0,0,0,0,-9.1,0.3,0,0,-8.1,0.3,0,0,-7.3,0.3,0,0,-8.78,0.274920809,0,0,0,0,0,0,3548133.892,1174897.555,1737800.829,1412537.545,1288249.552,1230268.771,3981071.706,3981071.706,3548133.892,4379178.877,4379178.877,4379178.877
SDSSJ1033+1809,He,0.6,-5.49,0,0,0,0,-8.6,0.3,0,0,-7.6,0.3,0,0,-7.7,0.3,0,0,0,0,0,0,0,0,0,0,2884031.503,1047128.548,1148153.621,1258925.412,1148153.621,1096478.196,3235936.569,3235936.569,2884031.503,3559530.226,3559530.226,3559530.226
SDSSJ1038-0036,He,0.6,-5.28,0,0,-9.15,0.102911616,-7.4,0.1,0,0,-6.9,0.1,0,0,-6.3,0.1,0,0,-8.15,0.055594971,0,0,0,0,0,0,2238721.139,851138.0382,933254.3008,1047128.548,954992.586,912010.8394,2454708.916,2454708.916,2238721.139,2700179.808,2700179.808,2700179.808
SDSSJ1038+0432,He,0.6,-5.56,0,0,0,0,-7.6,0.3,0,0,-7,0.2,-8.8,0.180161151,-6.6,0.2,0,0,-9.23,0.15798114,0,0,0,0,0,0,3311311.215,1318256.739,1412537.545,1621810.097,1479108.388,1380384.265,3715352.291,3715352.291,3311311.215,4086887.52,4086887.52,4086887.52
SDSSJ1040+2407,He,0.6,-5.62,0,0,-9.17,0.132558295,-8.1,0.2,0,0,-7.2,0.2,-9.25,0.132558295,-6.8,0.1,0,0,-8.78,0.100357867,0,0,0,0,0,0,2290867.653,831763.7711,912010.8394,1000000,933254.3008,891250.9381,2570395.783,2570395.783,2290867.653,2827435.361,2827435.361,2827435.361
